"quad","tag","dx","dy","dap","dbhcm","alt","fam","gen","species","nfuste","arv_key","status","subquad","xlim","ylim","gx","gy","qx","qy","pom","censo"
"H05",9752,17.2,18.2,NA,NA,NA,"Pentaphylacaceae","Ternstroemia","Ternstroemia brasiliensis",NA,"arv_9752.1","M","H05quad_15x15",140,100,157.2,118.2,2.2,3.2,1.3,2019
"H05",9754,17.2,19.2,NA,NA,NA,"Pentaphylacaceae","Ternstroemia","Ternstroemia brasiliensis",NA,"arv_9754.1","M","H05quad_15x15",140,100,157.2,119.2,2.2,4.2,1.3,2019
"G04",9755,11,1.7,NA,NA,NA,"Myrtaceae","Myrcia","Myrcia hebepetala",NA,"arv_9755.1","M","G04quad_10x0",120,80,131,81.7,1,1.7,1.3,2019
"H05",9758,11.5,19.5,83,8.3,9,"Myrtaceae","Myrcia","Myrcia racemosa",3,"arv_9758.1","A","H05quad_10x15",140,100,151.5,119.5,1.5,4.5,1.3,2019
"G04",9759,14.5,6.5,132,13.2,13,"Rubiaceae","Amaioua","Amaioua intermedia",1,"arv_9759.1","A","G04quad_10x5",120,80,134.5,86.5,4.5,1.5,1.3,2019
"H05",9760,11.5,18.5,286,28.6,17,"Myrtaceae","Eugenia","Eugenia umbelliflora",1,"arv_9760.1","A","H05quad_10x15",140,100,151.5,118.5,1.5,3.5,1.3,2019
"G04",9761,19,2.6,185,18.5,14,"Rubiaceae","Amaioua","Amaioua intermedia",1,"arv_9761.1","A","G04quad_15x0",120,80,139,82.6,4,2.6,1.3,2019
"H04",9763,0,3.5,50.2,5.02,5.5,"Rubiaceae","Amaioua","Amaioua intermedia",1,"arv_9763.1","A","H04quad_0x0",140,80,140,83.5,0,3.5,1.3,2019
"H05",9764,11,15.5,256,25.6,16,"Pentaphylacaceae","Ternstroemia","Ternstroemia brasiliensis",1,"arv_9764.1","A","H05quad_10x15",140,100,151,115.5,1,0.5,1.3,2019
"G04",9765,19.2,7,72,7.2,14,"Rubiaceae","Amaioua","Amaioua intermedia",1,"arv_9765.1","A","G04quad_15x5",120,80,139.2,87,4.2,2,1.3,2019
"G04",9767,18.9,7,61,6.1,10,"Rubiaceae","Amaioua","Amaioua intermedia",2,"arv_9767.1","A","G04quad_15x5",120,80,138.9,87,3.9,2,1.3,2019
"G04",9769,19.7,9.4,120,12,14,"Bignoniaceae","Jacaranda","Jacaranda puberula",1,"arv_9769.1","A","G04quad_15x5",120,80,139.7,89.4,4.7,4.4,1.3,2019
"H05",9770,6,18,141,14.1,11,"Rubiaceae","Amaioua","Amaioua intermedia",1,"arv_9770.1","A","H05quad_5x15",140,100,146,118,1,3,1.3,2019
"G04",9771,19,9.6,95,9.5,12,"Rubiaceae","Amaioua","Amaioua intermedia",1,"arv_9771.1","A","G04quad_15x5",120,80,139,89.6,4,4.6,1.3,2019
"H05",9772,4.4,15.7,NA,NA,NA,"Sapotaceae","Manilkara","Manilkara subsericea",NA,"arv_9772.1","M","H05quad_0x15",140,100,144.4,115.7,4.4,0.699999999999999,1.3,2019
"H05",9774,2.9,15.8,NA,NA,NA,"Myrtaceae","Myrcia","Myrcia pubipetala",NA,"arv_9774.1","M","H05quad_0x15",140,100,142.9,115.8,2.9,0.800000000000001,1.3,2019
"G04",9775,19,10.5,63,6.3,10,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_9775.1","A","G04quad_15x10",120,80,139,90.5,4,0.5,1.3,2019
"G04",9777,19.5,12,208,20.8,15,"Myrtaceae","Psidium","Psidium cattleyanum",1,"arv_9777.1","A","G04quad_15x10",120,80,139.5,92,4.5,2,1.3,2019
"H05",9778,5.3,14.6,NA,NA,NA,"Myrtaceae","Myrcia","Myrcia multiflora",NA,"arv_9778.1","M","H05quad_5x10",140,100,145.3,114.6,0.3,4.6,1.3,2019
"G04",9779,18,12,78,7.8,8,"Fabaceae","Andira","Andira anthelmia",1,"arv_9779.1","A","G04quad_15x10",120,80,138,92,3,2,1.3,2019
"G04",9781,16,11.5,79,7.9,14,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_9781.1","A","G04quad_15x10",120,80,136,91.5,1,1.5,1.3,2019
"H05",9782,3.6,11.9,77,7.7,13,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_9782.1","A","H05quad_0x10",140,100,143.6,111.9,3.6,1.9,1.3,2019
"G04",9783,15.5,12.5,280,28,17,"Humiriaceae","Humiriastrum","Humiriastrum dentatum",1,"arv_9783.1","A","G04quad_15x10",120,80,135.5,92.5,0.5,2.5,1.3,2019
"H05",9784,1.2,12.2,NA,NA,NA,"Aquifoliaceae","Ilex","Ilex dumosa",NA,"arv_9784.1","M","H05quad_0x10",140,100,141.2,112.2,1.2,2.2,1.3,2019
"G04",9785,14.5,11,NA,NA,NA,"Annonaceae","Guatteria","Guatteria australis",NA,"arv_9785.1","D","G04quad_10x10",120,80,134.5,91,4.5,1,1.3,2019
"H05",9786,3.5,10.5,71,7.1,10,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_9786.1","A","H05quad_0x10",140,100,143.5,110.5,3.5,0.5,1.3,2019
"G04",9787,13,13,68,6.8,7,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_9787.1","A","G04quad_10x10",120,80,133,93,3,3,1.3,2019
"H05",9788,2.5,10.5,130,13,11,"Rubiaceae","Posoqueria","Posoqueria latifolia",2,"arv_9788.1","A","H05quad_0x10",140,100,142.5,110.5,2.5,0.5,1.3,2019
"G04",9789,8.4,4.5,NA,NA,NA,"Lauraceae","Ocotea","Ocotea aciphylla",NA,"arv_9789.1","M","G04quad_5x0",120,80,128.4,84.5,3.4,4.5,1.3,2019
"G04",9791,10,5.6,NA,NA,NA,"Myrtaceae","Myrcia","Myrcia glabra",NA,"arv_9791.1","D","G04quad_10x5",120,80,130,85.6,0,0.6,1.3,2019
"G04",9793,3.5,13.5,136,13.6,15,"Myrtaceae","Eugenia","Eugenia sulcata",4,"arv_9793.1","A","G04quad_0x10",120,80,123.5,93.5,3.5,3.5,1.3,2019
"H05",9794,0.4,7,46,4.6,5,"Fabaceae","Ormosia","Ormosia arborea",1,"arv_9794.1","A","H05quad_0x5",140,100,140.4,107,0.4,2,1.3,2019
"G04",9795,2.5,11,142,14.2,15,"Anacardiaceae","Tapirira","Tapirira guianensis",1,"arv_9795.1","A","G04quad_0x10",120,80,122.5,91,2.5,1,1.3,2019
"G04",9797,1.2,7.7,88,8.8,11,"Myrtaceae","Calyptranthes","Calyptranthes concinna",1,"arv_9797.1","A","G04quad_0x5",120,80,121.2,87.7,1.2,2.7,1.3,2019
"F04",9799,19.5,12.5,71,7.1,7.5,"Myrtaceae","Eugenia","Eugenia sulcata",1,"arv_9799.1","A","F04quad_15x10",100,80,119.5,92.5,4.5,2.5,1.3,2019
"G04",9801,18.8,7.2,NA,NA,NA,"Lauraceae","Ocotea","Ocotea aciphylla",NA,"arv_9801.1","M","G04quad_15x5",120,80,138.8,87.2,3.8,2.2,1.3,2019
"H05",9802,6,19.5,88,8.8,9,"Araliaceae","Schefflera","Schefflera angustissima",1,"arv_9802.1","A","H05quad_5x15",140,100,146,119.5,1,4.5,1.3,2019
"H06",9804,11.1,3,NA,NA,NA,"Lauraceae","Ocotea","Ocotea pulchella",NA,"arv_9804.1","D","H06quad_10x0",140,120,151.1,123,1.1,3,1.3,2019
"H06",9806,11.5,2,129,12.9,17,"Peraceae","Pera","Pera glabrata",1,"arv_9806.1","A","H06quad_10x0",140,120,151.5,122,1.5,2,1.3,2019
"G04",9807,4,17.5,176,17.6,14,"Sapotaceae","Pouteria","Pouteria beaurepairei",2,"arv_9807.1","A","G04quad_0x15",120,80,124,97.5,4,2.5,1.3,2019
"H06",9808,7,2.5,71,7.1,9,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_9808.1","A","H06quad_5x0",140,120,147,122.5,2,2.5,1.3,2019
"G04",9809,5.5,17.5,63,6.3,10,"Myrtaceae","Calyptranthes","Calyptranthes concinna",1,"arv_9809.1","A","G04quad_5x15",120,80,125.5,97.5,0.5,2.5,1.3,2019
"H06",9812,9.3,6.8,160,16,11,"Rubiaceae","Amaioua","Amaioua intermedia",1,"arv_9812.1","A","H06quad_5x5",140,120,149.3,126.8,4.3,1.8,1.3,2019
"G04",9813,4.1,18.7,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9813.1","M","G04quad_0x15",120,80,124.1,98.7,4.1,3.7,1.3,2019
"H06",9814,5.5,6.4,NA,NA,NA,"Cyatheaceae","Cyathea","Cyathea microdonta",NA,"arv_9814.1","M","H06quad_5x5",140,120,145.5,126.4,0.5,1.4,1.3,2019
"G04",9815,8,16.5,135,13.5,14,"Fabaceae","Andira","Andira anthelmia",1,"arv_9815.1","A","G04quad_5x15",120,80,128,96.5,3,1.5,1.3,2019
"H06",9816,7.6,7.5,67,6.7,7.5,"Myrtaceae","Myrcia","Myrcia racemosa",4,"arv_9816.1","A","H06quad_5x5",140,120,147.6,127.5,2.6,2.5,1.3,2019
"G04",9817,8.5,16,100,10,11,"Rubiaceae","Amaioua","Amaioua intermedia",1,"arv_9817.1","A","G04quad_5x15",120,80,128.5,96,3.5,1,1.3,2019
"G04",9819,9.5,16,76,7.6,7,"Annonaceae","Xylopia","Xylopia langsdorffiana",1,"arv_9819.1","A","G04quad_5x15",120,80,129.5,96,4.5,1,1.3,2019
"H06",9822,6.5,11.5,66,6.6,8,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_9822.1","A","H06quad_5x10",140,120,146.5,131.5,1.5,1.5,1.3,2019
"G04",9823,12.5,19,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9823.1","D","G04quad_10x15",120,80,132.5,99,2.5,4,1.3,2019
"H06",9824,6.5,11.5,108,10.8,13,"Myrtaceae","Myrcia","Myrcia sp_1",1,"arv_9824.1","A","H06quad_5x10",140,120,146.5,131.5,1.5,1.5,1.3,2019
"G04",9825,12.1,19.3,NA,NA,NA,"Rubiaceae","Amaioua","Amaioua intermedia",NA,"arv_9825.1","D","G04quad_10x15",120,80,132.1,99.3,2.1,4.3,1.3,2019
"H06",9826,6,11,183,18.3,12,"Pentaphylacaceae","Ternstroemia","Ternstroemia brasiliensis",1,"arv_9826.1","A","H06quad_5x10",140,120,146,131,1,1,1.3,2019
"H06",9828,3.4,12.4,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9828.1","M","H06quad_0x10",140,120,143.4,132.4,3.4,2.4,1.3,2019
"G04",9829,15.5,19.2,NA,NA,NA,"Myrtaceae","Calyptranthes","Calyptranthes concinna",NA,"arv_9829.1","M","G04quad_15x15",120,80,135.5,99.2,0.5,4.2,1.3,2019
"H06",9830,2.4,14,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9830.1","M","H06quad_0x10",140,120,142.4,134,2.4,4,1.3,2019
"H06",9832,5.2,13.9,NA,NA,NA,"Cyatheaceae","Cyathea","Cyathea microdonta",NA,"arv_9832.1","M","H06quad_5x10",140,120,145.2,133.9,0.2,3.9,1.3,2019
"G04",9833,18.8,18.4,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9833.1","M","G04quad_15x15",120,80,138.8,98.4,3.8,3.4,1.3,2019
"G04",9835,19,18.5,67,6.7,12,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_9835.1","A","G04quad_15x15",120,80,139,98.5,4,3.5,1.3,2019
"H06",9836,7,14,69,6.9,8.5,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_9836.1","A","H06quad_5x10",140,120,147,134,2,4,1.3,2019
"H06",9838,7.9,14.6,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9838.1","M","H06quad_5x10",140,120,147.9,134.6,2.9,4.6,1.3,2019
"H06",9840,9,12.1,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9840.1","M","H06quad_5x10",140,120,149,132.1,4,2.1,1.3,2019
"G05",9841,14.3,0.4,NA,NA,NA,"Myrtaceae","Myrcia","Myrcia brasiliensis",NA,"arv_9841.1","D","G05quad_10x0",120,100,134.3,100.4,4.3,0.4,1.3,2019
"H06",9842,10.2,16.2,NA,NA,NA,"Aquifoliaceae","Ilex","Ilex dumosa",NA,"arv_9842.1","M","H06quad_10x15",140,120,150.2,136.2,0.199999999999999,1.2,1.3,2019
"G05",9843,14.1,2.5,NA,NA,NA,"Myrtaceae","Myrcia","Myrcia glabra",NA,"arv_9843.1","M","G05quad_10x0",120,100,134.1,102.5,4.1,2.5,1.3,2019
"H06",9844,11,16,241,24.1,18,"Myrtaceae","Calyptranthes","Calyptranthes concinna",2,"arv_9844.1","A","H06quad_10x15",140,120,151,136,1,1,1.3,2019
"H06",9846,11.8,15.6,89,8.9,6.5,"Annonaceae","Xylopia","Xylopia langsdorffiana",2,"arv_9846.1","A","H06quad_10x15",140,120,151.8,135.6,1.8,0.6,1.3,2019
"G05",9849,14,4.4,NA,NA,NA,"Myrtaceae","Eugenia","Eugenia umbelliflora",NA,"arv_9849.1","D","G05quad_10x0",120,100,134,104.4,4,4.4,1.3,2019
"G05",9851,14.6,6.4,NA,NA,NA,"Lauraceae","Ocotea","Ocotea pulchella",NA,"arv_9851.1","M","G05quad_10x5",120,100,134.6,106.4,4.6,1.4,1.3,2019
"H06",9852,6,16,166,16.6,15,"Rubiaceae","Amaioua","Amaioua intermedia",1,"arv_9852.1","A","H06quad_5x15",140,120,146,136,1,1,1.3,2019
"G05",9853,13.5,5.8,175,17.5,14,"Bignoniaceae","Jacaranda","Jacaranda puberula",1,"arv_9853.1","A","G05quad_10x5",120,100,133.5,105.8,3.5,0.8,1.3,2019
"H06",9854,2.7,16.5,NA,NA,NA,"Peraceae","Pera","Pera glabrata",NA,"arv_9854.1","M","H06quad_0x15",140,120,142.7,136.5,2.7,1.5,1.3,2019
"G05",9855,13.8,8,156,15.6,12,"Myrtaceae","Psidium","Psidium cattleyanum",1,"arv_9855.1","A","G05quad_10x5",120,100,133.8,108,3.8,3,1.3,2019
"H06",9856,2.5,15.2,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9856.1","M","H06quad_0x15",140,120,142.5,135.2,2.5,0.199999999999999,1.3,2019
"G05",9857,13.5,7,493,49.3,18,"Clusiaceae","Calophyllum","Calophyllum brasiliense",1,"arv_9857.1","A","G05quad_10x5",120,100,133.5,107,3.5,2,1.3,2019
"H06",9860,14.3,4.9,NA,NA,NA,"Araliaceae","Schefflera","Schefflera angustissima",NA,"arv_9860.1","D","H06quad_10x0",140,120,154.3,124.9,4.3,4.9,1.3,2019
"G05",9861,11.1,3.2,459,45.9,18,"Lauraceae","Ocotea","Ocotea pulchella",1,"arv_9861.1","A","G05quad_10x0",120,100,131.1,103.2,1.1,3.2,1.3,2019
"H06",9864,19,3.3,NA,NA,NA,"Malpighiaceae","Byrsonima","Byrsonima ligustrifolia",NA,"arv_9864.1","M","H06quad_15x0",140,120,159,123.3,4,3.3,1.3,2019
"G05",9865,8.7,3.8,NA,NA,NA,"Clusiaceae","Garcinia","Garcinia gardneriana",NA,"arv_9865.1","M","G05quad_5x0",120,100,128.7,103.8,3.7,3.8,1.3,2019
"H06",9866,18.2,3.6,95,9.5,12,"Bignoniaceae","Handroanthus","Handroanthus albus",1,"arv_9866.1","A","H06quad_15x0",140,120,158.2,123.6,3.2,3.6,1.3,2019
"G05",9867,7.7,5.2,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9867.1","M","G05quad_5x5",120,100,127.7,105.2,2.7,0.2,1.3,2019
"H06",9868,18.2,5.5,NA,NA,NA,"Araliaceae","Schefflera","Schefflera angustissima",NA,"arv_9868.1","M","H06quad_15x5",140,120,158.2,125.5,3.2,0.5,1.3,2019
"G05",9869,1.5,1.8,66,6.6,6.5,"Myrtaceae","Myrcia","Myrcia racemosa",1,"arv_9869.1","A","G05quad_0x0",120,100,121.5,101.8,1.5,1.8,1.3,2019
"G05",9873,1.5,9.3,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9873.1","M","G05quad_0x5",120,100,121.5,109.3,1.5,4.3,1.3,2019
"H06",9874,18.8,14.7,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9874.1","M","H06quad_15x10",140,120,158.8,134.7,3.8,4.7,1.3,2019
"H06",9876,17.2,19.2,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9876.1","M","H06quad_15x15",140,120,157.2,139.2,2.2,4.2,1.3,2019
"H06",9878,17.2,19.5,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9878.1","M","H06quad_15x15",140,120,157.2,139.5,2.2,4.5,1.3,2019
"G05",9879,2.5,11.8,65,6.5,2,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_9879.1","A","G05quad_0x10",120,100,122.5,111.8,2.5,1.8,1.3,2019
"H05",9880,13.2,14.2,NA,NA,NA,"Celastraceae","Maytenus","Maytenus robusta",NA,"arv_9880.1","M","H05quad_10x10",140,100,153.2,114.2,3.2,4.2,1.3,2019
"G05",9881,3,15,200,20,16,"Myrtaceae","Psidium","Psidium cattleyanum",1,"arv_9881.1","A","G05quad_0x15",120,100,123,115,3,0,1.3,2019
"G05",9883,3,16.5,99,9.9,9.5,"Clusiaceae","Garcinia","Garcinia gardneriana",1,"arv_9883.1","A","G05quad_0x15",120,100,123,116.5,3,1.5,1.3,2019
"H06",9884,7.8,19.7,NA,NA,NA,"Aquifoliaceae","Ilex","Ilex pseudobuxus",NA,"arv_9884.1","M","H06quad_5x15",140,120,147.8,139.7,2.8,4.7,1.3,2019
"G05",9885,4.4,8.9,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9885.1","M","G05quad_0x5",120,100,124.4,108.9,4.4,3.9,1.3,2019
"G05",9889,6.5,6,533,53.3,17,"Lauraceae","Ocotea","Ocotea pulchella",1,"arv_9889.1","A","G05quad_5x5",120,100,126.5,106,1.5,1,1.3,2019
"H07",9890,0.5,7.2,NA,NA,NA,"Myrtaceae","Eugenia","Eugenia sulcata",NA,"arv_9890.1","M","H07quad_0x5",140,140,140.5,147.2,0.5,2.2,1.3,2019
"G05",9891,7.9,13.6,NA,NA,NA,"Myrtaceae","Eugenia","Eugenia sulcata",NA,"arv_9891.1","M","G05quad_5x10",120,100,127.9,113.6,2.9,3.6,1.3,2019
"H07",9892,3,6.7,146,14.6,14,"Peraceae","Pera","Pera glabrata",1,"arv_9892.1","A","H07quad_0x5",140,140,143,146.7,3,1.7,1.3,2019
"G05",9893,8.8,14.2,NA,NA,NA,"Myrtaceae","Myrcia","Myrcia brasiliensis",NA,"arv_9893.1","D","G05quad_5x10",120,100,128.8,114.2,3.8,4.2,1.3,2019
"G05",9895,9.3,14.2,NA,NA,NA,"Rubiaceae","Posoqueria","Posoqueria latifolia",NA,"arv_9895.1","M","G05quad_5x10",120,100,129.3,114.2,4.3,4.2,1.3,2019
"H07",9898,4,4.5,174,17.4,12,"Clusiaceae","Calophyllum","Calophyllum brasiliense",1,"arv_9898.1","A","H07quad_0x0",140,140,144,144.5,4,4.5,1.3,2019
"G05",9899,9,17,182,18.2,17,"Myrtaceae","Calyptranthes","Calyptranthes concinna",1,"arv_9899.1","A","G05quad_5x15",120,100,129,117,4,2,1.3,2019
"H07",9900,2.3,3.8,116,11.6,8,"Rubiaceae","Amaioua","Amaioua intermedia",1,"arv_9900.1","A","H07quad_0x0",140,140,142.3,143.8,2.3,3.8,1.3,2019
"G05",9901,10.2,18.8,NA,NA,NA,"Clusiaceae","Calophyllum","Calophyllum brasiliense",NA,"arv_9901.1","D","G05quad_10x15",120,100,130.2,118.8,0.199999999999999,3.8,1.3,2019
"G05",9903,9.5,16.5,158,15.8,14,"Malpighiaceae","Byrsonima","Byrsonima ligustrifolia",1,"arv_9903.1","A","G05quad_5x15",120,100,129.5,116.5,4.5,1.5,1.3,2019
"H07",9904,5.8,1.7,134,13.4,12,"Aquifoliaceae","Ilex","Ilex dumosa",2,"arv_9904.1","A","H07quad_5x0",140,140,145.8,141.7,0.8,1.7,1.3,2019
"G05",9905,10.9,16.2,NA,NA,NA,"Clusiaceae","Calophyllum","Calophyllum brasiliense",NA,"arv_9905.1","D","G05quad_10x15",120,100,130.9,116.2,0.9,1.2,1.3,2019
"H07",9906,10.3,1.7,21.1,2.11,3,"Pentaphylacaceae","Ternstroemia","Ternstroemia brasiliensis",1,"arv_9906.1","A","H07quad_10x0",140,140,150.3,141.7,0.300000000000001,1.7,1.3,2019
"G05",9907,12.7,14.9,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9907.1","D","G05quad_10x10",120,100,132.7,114.9,2.7,4.9,1.3,2019
"H07",9908,9.2,1.8,NA,NA,NA,"Cyatheaceae","Cyathea","Cyathea microdonta",NA,"arv_9908.1","M","H07quad_5x0",140,140,149.2,141.8,4.2,1.8,1.3,2019
"H07",9910,8.7,1.2,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9910.1","M","H07quad_5x0",140,140,148.7,141.2,3.7,1.2,1.3,2019
"G05",9913,13.2,14.1,NA,NA,NA,"Sapotaceae","Manilkara","Manilkara subsericea",NA,"arv_9913.1","D","G05quad_10x10",120,100,133.2,114.1,3.2,4.1,1.3,2019
"G05",9915,14.5,9.1,76,7.6,17,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_9915.1","A","G05quad_10x5",120,100,134.5,109.1,4.5,4.1,1.3,2019
"G05",9917,18.9,9.6,316,31.6,20,"Lauraceae","Ocotea","Ocotea pulchella",1,"arv_9917.1","A","G05quad_15x5",120,100,138.9,109.6,3.9,4.6,1.3,2019
"G05",9919,18.3,10,NA,NA,NA,"Myrtaceae","Myrcia","Myrcia racemosa",NA,"arv_9919.1","D","G05quad_15x10",120,100,138.3,110,3.3,0,1.3,2019
"H07",9922,0.4,4.5,98,9.8,9,"Aquifoliaceae","Ilex","Ilex pseudobuxus",1,"arv_9922.1","A","H07quad_0x0",140,140,140.4,144.5,0.4,4.5,1.3,2019
"G05",9923,19.5,5.2,NA,NA,NA,"Araliaceae","Schefflera","Schefflera angustissima",NA,"arv_9923.1","M","G05quad_15x5",120,100,139.5,105.2,4.5,0.2,1.3,2019
"H07",9924,2,7.6,123,12.3,12,"Cunoniaceae","Weinmannia","Weinmannia paulliniifolia",1,"arv_9924.1","A","H07quad_0x5",140,140,142,147.6,2,2.6,1.3,2019
"G05",9925,19.8,10.8,NA,NA,NA,"Myrtaceae","Myrcia","Myrcia racemosa",NA,"arv_9925.1","M","G05quad_15x10",120,100,139.8,110.8,4.8,0.800000000000001,1.3,2019
"H07",9926,0.5,9.3,183,18.3,13,"Malpighiaceae","Byrsonima","Byrsonima ligustrifolia",1,"arv_9926.1","A","H07quad_0x5",140,140,140.5,149.3,0.5,4.3,1.3,2019
"H07",9928,2,13.5,82,8.2,9,"Malpighiaceae","Byrsonima","Byrsonima ligustrifolia",2,"arv_9928.1","A","H07quad_0x10",140,140,142,153.5,2,3.5,1.3,2019
"G05",9931,15.2,17.5,NA,NA,NA,"Rubiaceae","Cordiera","Cordiera myrciifolia",NA,"arv_9931.1","M","G05quad_15x15",120,100,135.2,117.5,0.199999999999999,2.5,1.3,2019
"H07",9932,2.9,14.6,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9932.1","M","H07quad_0x10",140,140,142.9,154.6,2.9,4.6,1.3,2019
"G05",9933,17.5,19,544,54.4,15,"Clusiaceae","Calophyllum","Calophyllum brasiliense",1,"arv_9933.1","A","G05quad_15x15",120,100,137.5,119,2.5,4,1.3,2019
"G06",9935,18,0.5,110,11,13,"Fabaceae","Andira","Andira anthelmia",1,"arv_9935.1","A","G06quad_15x0",120,120,138,120.5,3,0.5,1.3,2019
"H07",9936,12.8,12.8,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9936.1","M","H07quad_10x10",140,140,152.8,152.8,2.8,2.8,1.3,2019
"G06",9937,18.2,3,NA,NA,NA,"Araliaceae","Schefflera","Schefflera angustissima",NA,"arv_9937.1","M","G06quad_15x0",120,120,138.2,123,3.2,3,1.3,2019
"H07",9938,10.5,10,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9938.1","M","H07quad_10x10",140,140,150.5,150,0.5,0,1.3,2019
"G06",9939,14.2,1.7,NA,NA,NA,"Araliaceae","Schefflera","Schefflera angustissima",NA,"arv_9939.1","M","G06quad_10x0",120,120,134.2,121.7,4.2,1.7,1.3,2019
"G06",9943,7,0.8,130,13,10,"Fabaceae","Andira","Andira anthelmia",1,"arv_9943.1","A","G06quad_5x0",120,120,127,120.8,2,0.8,1.3,2019
"H07",9946,6,12.2,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9946.1","M","H07quad_5x10",140,140,146,152.2,1,2.2,1.3,2019
"H07",9948,2,18.5,173,17.3,18,"Clusiaceae","Calophyllum","Calophyllum brasiliense",1,"arv_9948.1","A","H07quad_0x15",140,140,142,158.5,2,3.5,1.3,2019
"G06",9951,4,6,91,9.1,13,"Myrtaceae","Eugenia","Eugenia umbelliflora",1,"arv_9951.1","A","G06quad_0x5",120,120,124,126,4,1,1.3,2019
"H07",9952,0,15,126,12.6,18,"Anacardiaceae","Tapirira","Tapirira guianensis",1,"arv_9952.1","A","H07quad_0x15",140,140,140,155,0,0,1.3,2019
"G06",9953,4.2,7.1,545,54.5,20,"Clusiaceae","Calophyllum","Calophyllum brasiliense",1,"arv_9953.1","A","G06quad_0x5",120,120,124.2,127.1,4.2,2.1,1.3,2019
"H07",9954,0.5,18,53,5.3,6,"Myrtaceae","Myrcia","Myrcia ilheosensis",1,"arv_9954.1","A","H07quad_0x15",140,140,140.5,158,0.5,3,1.3,2019
"G06",9955,7.5,6,131,13.1,11,"Fabaceae","Andira","Andira anthelmia",1,"arv_9955.1","A","G06quad_5x5",120,120,127.5,126,2.5,1,1.3,2019
"H07",9958,0.5,16.5,352,35.2,20,"Lauraceae","Ocotea","Ocotea pulchella",1,"arv_9958.1","A","H07quad_0x15",140,140,140.5,156.5,0.5,1.5,1.3,2019
"H07",9960,1.5,16,77,7.7,13,"Peraceae","Pera","Pera glabrata",1,"arv_9960.1","A","H07quad_0x15",140,140,141.5,156,1.5,1,1.3,2019
"G06",9961,0.8,5.7,NA,NA,NA,"Clusiaceae","Clusia","Clusia criuva",NA,"arv_9961.1","M","G06quad_0x5",120,120,120.8,125.7,0.8,0.7,1.3,2019
"H07",9962,4.3,17,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9962.1","D","H07quad_0x15",140,140,144.3,157,4.3,2,1.3,2019
"H07",9964,7,19.5,68,6.8,9.5,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_9964.1","A","H07quad_5x15",140,140,147,159.5,2,4.5,1.3,2019
"F06",9965,19.5,15,65,6.5,6.5,"Bignoniaceae","Handroanthus","Handroanthus albus",1,"arv_9965.1","A","F06quad_15x15",100,120,119.5,135,4.5,0,1.3,2019
"H07",9966,8.7,19,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9966.1","M","H07quad_5x15",140,140,148.7,159,3.7,4,1.3,2019
"G06",9967,1.5,14.5,76,7.6,12,"Myrtaceae","Myrcia","Myrcia racemosa",1,"arv_9967.1","A","G06quad_0x10",120,120,121.5,134.5,1.5,4.5,1.3,2019
"G06",9969,1.9,15.7,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_9969.1","M","G06quad_0x15",120,120,121.9,135.7,1.9,0.699999999999999,1.3,2019
