"quad","tag","dx","dy","dap","dbhcm","alt","fam","gen","species","nfuste","arv_key","status","subquad","xlim","ylim","gx","gy","qx","qy","pom","censo"
"B00",64,16,12.4,NA,NA,NA,"Clusiaceae","Garcinia","Garcinia gardneriana",NA,"arv_64.1","M","B00quad_15x10",20,0,36,12.4,1,2.4,1.3,2019
"B00",66,12.4,9.6,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_66.1","D","B00quad_10x5",20,0,32.4,9.6,2.4,4.6,1.3,2019
"B00",67,12.1,9.5,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_67.1","M","B00quad_10x5",20,0,32.1,9.5,2.1,4.5,1.3,2019
"B00",68,10.5,12.9,NA,NA,NA,"Myrtaceae","Eugenia","Eugenia umbelliflora",NA,"arv_68.1","M","B00quad_10x10",20,0,30.5,12.9,0.5,2.9,1.3,2019
"B00",70,12.1,12.3,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_70.1","D","B00quad_10x10",20,0,32.1,12.3,2.1,2.3,1.3,2019
"B00",71,11,12.8,NA,NA,NA,"Peraceae","Pera","Pera glabrata",NA,"arv_71.1","M","B00quad_10x10",20,0,31,12.8,1,2.8,1.3,2019
"B00",73,7.5,12,75,7.5,6,"Araliaceae","Schefflera","Schefflera angustissima",1,"arv_73.1","A","B00quad_5x10",20,0,27.5,12,2.5,2,1.3,2019
"B00",74,7,13,152,15.2,13,"Fabaceae","Andira","Andira anthelmia",1,"arv_74.1","A","B00quad_5x10",20,0,27,13,2,3,1.3,2019
"B00",77,3.5,12.5,60,6,5,"Celastraceae","Maytenus","Maytenus robusta",4,"arv_77.1","A","B00quad_0x10",20,0,23.5,12.5,3.5,2.5,1.3,2019
"B00",81,0.4,8.3,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_81.1","M","B00quad_0x5",20,0,20.4,8.3,0.4,3.3,1.3,2019
"B00",82,0.5,11.5,70,7,4.5,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_82.1","A","B00quad_0x10",20,0,20.5,11.5,0.5,1.5,1.3,2019
"B00",83,3,13,55.4,5.54,11,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_83.1","A","B00quad_0x10",20,0,23,13,3,3,1.3,2019
"B00",84,1.5,12.5,59,5.9,3.5,"Myrtaceae","Blepharocalyx","Blepharocalyx salicifolius",1,"arv_84.1","A","B00quad_0x10",20,0,21.5,12.5,1.5,2.5,1.3,2019
"B00",85,8,16.5,92,9.2,12,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_85.1","A","B00quad_5x15",20,0,28,16.5,3,1.5,1.3,2019
"B00",92,8.5,8.6,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_92.1","M","B00quad_5x5",20,0,28.5,8.6,3.5,3.6,1.3,2019
"B00",93,6.3,9.7,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_93.1","M","B00quad_5x5",20,0,26.3,9.7,1.3,4.7,1.3,2019
"B00",94,4.4,6,NA,NA,NA,"Arecaceae","Astrocaryum","Astrocaryum aculeatissimum",NA,"arv_94.1","M","B00quad_0x5",20,0,24.4,6,4.4,1,1.3,2019
"B00",100,13.3,17.3,NA,NA,NA,"Myrtaceae","Marlierea","Marlierea racemosa",NA,"arv_100.1","M","B00quad_10x15",20,0,33.3,17.3,3.3,2.3,1.3,2019
