"xyid","xseq","yseq"
"x = 2.6; y = 8.0; .1",2.6,8
"x = 2.6; y = 8.2; .1",2.6,8.2
"x = 2.6; y = 8.4; .1",2.6,8.4
"x = 2.6; y = 8.6; .1",2.6,8.6
"x = 2.6; y = 8.8; .1",2.6,8.8
"x = 2.6; y = 9.0; .1",2.6,9
"x = 2.6; y = 9.2; .1",2.6,9.2
"x = 2.6; y = 9.4; .1",2.6,9.4
"x = 2.6; y = 9.6; .1",2.6,9.6
"x = 2.6; y = 9.8; .1",2.6,9.8
"x = 2.8; y = 0.0; .1",2.8,0
"x = 2.8; y = 0.2; .1",2.8,0.2
"x = 2.8; y = 0.4; .1",2.8,0.4
"x = 2.8; y = 0.6; .1",2.8,0.6
"x = 2.8; y = 0.8; .1",2.8,0.8
"x = 2.8; y = 1.0; .1",2.8,1
"x = 2.8; y = 1.2; .1",2.8,1.2
"x = 2.8; y = 1.4; .1",2.8,1.4
"x = 2.8; y = 1.6; .1",2.8,1.6
"x = 2.8; y = 1.8; .1",2.8,1.8
"x = 2.8; y = 2.0; .1",2.8,2
"x = 2.8; y = 2.2; .1",2.8,2.2
"x = 2.8; y = 2.4; .1",2.8,2.4
"x = 2.8; y = 2.6; .1",2.8,2.6
"x = 2.8; y = 2.8; .1",2.8,2.8
"x = 2.8; y = 3.0; .1",2.8,3
"x = 2.8; y = 3.2; .1",2.8,3.2
"x = 2.8; y = 3.4; .1",2.8,3.4
"x = 2.8; y = 3.6; .1",2.8,3.6
"x = 2.8; y = 3.8; .1",2.8,3.8
"x = 2.8; y = 4.0; .1",2.8,4
"x = 2.8; y = 4.2; .1",2.8,4.2
"x = 2.8; y = 4.4; .1",2.8,4.4
"x = 2.8; y = 4.6; .1",2.8,4.6
"x = 2.8; y = 4.8; .1",2.8,4.8
"x = 2.8; y = 5.0; .1",2.8,5
"x = 2.8; y = 5.2; .1",2.8,5.2
"x = 2.8; y = 5.4; .1",2.8,5.4
"x = 2.8; y = 5.6; .1",2.8,5.6
"x = 2.8; y = 5.8; .1",2.8,5.8
"x = 2.8; y = 6.0; .1",2.8,6
"x = 2.8; y = 6.2; .1",2.8,6.2
"x = 2.8; y = 6.4; .1",2.8,6.4
"x = 2.8; y = 6.6; .1",2.8,6.6
"x = 2.8; y = 6.8; .1",2.8,6.8
"x = 2.8; y = 7.0; .1",2.8,7
"x = 2.8; y = 7.2; .1",2.8,7.2
"x = 2.8; y = 7.4; .1",2.8,7.4
"x = 2.8; y = 7.6; .1",2.8,7.6
"x = 2.8; y = 7.8; .1",2.8,7.8
"x = 2.8; y = 8.0; .1",2.8,8
"x = 2.8; y = 8.2; .1",2.8,8.2
"x = 2.8; y = 8.4; .1",2.8,8.4
"x = 2.8; y = 8.6; .1",2.8,8.6
"x = 2.8; y = 8.8; .1",2.8,8.8
"x = 2.8; y = 9.0; .1",2.8,9
"x = 2.8; y = 9.2; .1",2.8,9.2
"x = 2.8; y = 9.4; .1",2.8,9.4
"x = 2.8; y = 9.6; .1",2.8,9.6
"x = 2.8; y = 9.8; .1",2.8,9.8
"x = 3.0; y = 0.0; .1",3,0
"x = 3.0; y = 0.2; .1",3,0.2
"x = 3.0; y = 0.4; .1",3,0.4
"x = 3.0; y = 0.6; .1",3,0.6
"x = 3.0; y = 0.8; .1",3,0.8
"x = 3.0; y = 1.0; .1",3,1
"x = 3.0; y = 1.2; .1",3,1.2
"x = 3.0; y = 1.4; .1",3,1.4
"x = 3.0; y = 1.6; .1",3,1.6
"x = 3.0; y = 1.8; .1",3,1.8
"x = 3.0; y = 2.0; .1",3,2
"x = 3.0; y = 2.2; .1",3,2.2
"x = 3.0; y = 2.4; .1",3,2.4
"x = 3.0; y = 2.6; .1",3,2.6
"x = 3.0; y = 2.8; .1",3,2.8
"x = 3.0; y = 3.0; .1",3,3
"x = 3.0; y = 3.2; .1",3,3.2
"x = 3.0; y = 3.4; .1",3,3.4
"x = 3.0; y = 3.6; .1",3,3.6
"x = 3.0; y = 3.8; .1",3,3.8
"x = 3.0; y = 4.0; .1",3,4
"x = 3.0; y = 4.2; .1",3,4.2
"x = 3.0; y = 4.4; .1",3,4.4
"x = 3.0; y = 4.6; .1",3,4.6
"x = 3.0; y = 4.8; .1",3,4.8
"x = 3.0; y = 5.0; .1",3,5
"x = 3.0; y = 5.2; .1",3,5.2
"x = 3.0; y = 5.4; .1",3,5.4
"x = 3.0; y = 5.6; .1",3,5.6
"x = 3.0; y = 5.8; .1",3,5.8
"x = 3.0; y = 6.0; .1",3,6
"x = 3.0; y = 6.2; .1",3,6.2
"x = 3.0; y = 6.4; .1",3,6.4
"x = 3.0; y = 6.6; .1",3,6.6
"x = 3.0; y = 6.8; .1",3,6.8
"x = 3.0; y = 7.0; .1",3,7
"x = 3.0; y = 7.2; .1",3,7.2
"x = 3.0; y = 7.4; .1",3,7.4
"x = 3.0; y = 7.6; .1",3,7.6
"x = 3.0; y = 7.8; .1",3,7.8
"x = 3.0; y = 8.0; .1",3,8
"x = 3.0; y = 8.2; .1",3,8.2
"x = 3.0; y = 8.4; .1",3,8.4
"x = 3.0; y = 8.6; .1",3,8.6
"x = 3.0; y = 8.8; .1",3,8.8
"x = 3.0; y = 9.0; .1",3,9
"x = 3.0; y = 9.2; .1",3,9.2
"x = 3.0; y = 9.4; .1",3,9.4
"x = 3.0; y = 9.6; .1",3,9.6
"x = 3.0; y = 9.8; .1",3,9.8
"x = 3.2; y = 0.0; .1",3.2,0
"x = 3.2; y = 0.2; .1",3.2,0.2
"x = 3.2; y = 0.4; .1",3.2,0.4
"x = 3.2; y = 0.6; .1",3.2,0.6
"x = 3.2; y = 0.8; .1",3.2,0.8
"x = 3.2; y = 1.0; .1",3.2,1
"x = 3.2; y = 1.2; .1",3.2,1.2
"x = 3.2; y = 1.4; .1",3.2,1.4
"x = 3.2; y = 1.6; .1",3.2,1.6
"x = 3.2; y = 1.8; .1",3.2,1.8
"x = 3.2; y = 2.0; .1",3.2,2
"x = 3.2; y = 2.2; .1",3.2,2.2
"x = 3.2; y = 2.4; .1",3.2,2.4
"x = 3.2; y = 2.6; .1",3.2,2.6
"x = 3.2; y = 2.8; .1",3.2,2.8
"x = 3.2; y = 3.0; .1",3.2,3
"x = 3.2; y = 3.2; .1",3.2,3.2
"x = 3.2; y = 3.4; .1",3.2,3.4
"x = 3.2; y = 3.6; .1",3.2,3.6
"x = 3.2; y = 3.8; .1",3.2,3.8
"x = 3.2; y = 4.0; .1",3.2,4
"x = 3.2; y = 4.2; .1",3.2,4.2
"x = 3.2; y = 4.4; .1",3.2,4.4
"x = 3.2; y = 4.6; .1",3.2,4.6
"x = 3.2; y = 4.8; .1",3.2,4.8
"x = 3.2; y = 5.0; .1",3.2,5
"x = 3.2; y = 5.2; .1",3.2,5.2
"x = 3.2; y = 5.4; .1",3.2,5.4
"x = 3.2; y = 5.6; .1",3.2,5.6
"x = 3.2; y = 5.8; .1",3.2,5.8
"x = 3.2; y = 6.0; .1",3.2,6
"x = 3.2; y = 6.2; .1",3.2,6.2
"x = 3.2; y = 6.4; .1",3.2,6.4
"x = 3.2; y = 6.6; .1",3.2,6.6
"x = 3.2; y = 6.8; .1",3.2,6.8
"x = 3.2; y = 7.0; .1",3.2,7
"x = 3.2; y = 7.2; .1",3.2,7.2
"x = 3.2; y = 7.4; .1",3.2,7.4
"x = 3.2; y = 7.6; .1",3.2,7.6
"x = 3.2; y = 7.8; .1",3.2,7.8
"x = 3.2; y = 8.0; .1",3.2,8
"x = 3.2; y = 8.2; .1",3.2,8.2
"x = 3.2; y = 8.4; .1",3.2,8.4
"x = 3.2; y = 8.6; .1",3.2,8.6
"x = 3.2; y = 8.8; .1",3.2,8.8
"x = 3.2; y = 9.0; .1",3.2,9
"x = 3.2; y = 9.2; .1",3.2,9.2
"x = 3.2; y = 9.4; .1",3.2,9.4
"x = 3.2; y = 9.6; .1",3.2,9.6
"x = 3.2; y = 9.8; .1",3.2,9.8
"x = 3.4; y = 0.0; .1",3.4,0
"x = 3.4; y = 0.2; .1",3.4,0.2
"x = 3.4; y = 0.4; .1",3.4,0.4
"x = 3.4; y = 0.6; .1",3.4,0.6
"x = 3.4; y = 0.8; .1",3.4,0.8
"x = 3.4; y = 1.0; .1",3.4,1
"x = 3.4; y = 1.2; .1",3.4,1.2
"x = 3.4; y = 1.4; .1",3.4,1.4
"x = 3.4; y = 1.6; .1",3.4,1.6
"x = 3.4; y = 1.8; .1",3.4,1.8
"x = 3.4; y = 2.0; .1",3.4,2
"x = 3.4; y = 2.2; .1",3.4,2.2
"x = 3.4; y = 2.4; .1",3.4,2.4
"x = 3.4; y = 2.6; .1",3.4,2.6
"x = 3.4; y = 2.8; .1",3.4,2.8
"x = 3.4; y = 3.0; .1",3.4,3
"x = 3.4; y = 3.2; .1",3.4,3.2
"x = 3.4; y = 3.4; .1",3.4,3.4
"x = 3.4; y = 3.6; .1",3.4,3.6
"x = 3.4; y = 3.8; .1",3.4,3.8
"x = 3.4; y = 4.0; .1",3.4,4
"x = 3.4; y = 4.2; .1",3.4,4.2
"x = 3.4; y = 4.4; .1",3.4,4.4
"x = 3.4; y = 4.6; .1",3.4,4.6
"x = 3.4; y = 4.8; .1",3.4,4.8
"x = 3.4; y = 5.0; .1",3.4,5
"x = 3.4; y = 5.2; .1",3.4,5.2
"x = 3.4; y = 5.4; .1",3.4,5.4
"x = 3.4; y = 5.6; .1",3.4,5.6
"x = 3.4; y = 5.8; .1",3.4,5.8
"x = 3.4; y = 6.0; .1",3.4,6
"x = 3.4; y = 6.2; .1",3.4,6.2
"x = 3.4; y = 6.4; .1",3.4,6.4
"x = 3.4; y = 6.6; .1",3.4,6.6
"x = 3.4; y = 6.8; .1",3.4,6.8
"x = 3.4; y = 7.0; .1",3.4,7
"x = 3.4; y = 7.2; .1",3.4,7.2
"x = 3.4; y = 7.4; .1",3.4,7.4
"x = 3.4; y = 7.6; .1",3.4,7.6
"x = 3.4; y = 7.8; .1",3.4,7.8
"x = 3.4; y = 8.0; .1",3.4,8
"x = 3.4; y = 8.2; .1",3.4,8.2
"x = 3.4; y = 8.4; .1",3.4,8.4
"x = 3.4; y = 8.6; .1",3.4,8.6
"x = 3.4; y = 8.8; .1",3.4,8.8
"x = 3.4; y = 9.0; .1",3.4,9
"x = 3.4; y = 9.2; .1",3.4,9.2
"x = 3.4; y = 9.4; .1",3.4,9.4
"x = 3.4; y = 9.6; .1",3.4,9.6
"x = 3.4; y = 9.8; .1",3.4,9.8
"x = 3.6; y = 0.0; .1",3.6,0
"x = 3.6; y = 0.2; .1",3.6,0.2
"x = 3.6; y = 0.4; .1",3.6,0.4
"x = 3.6; y = 0.6; .1",3.6,0.6
"x = 3.6; y = 0.8; .1",3.6,0.8
"x = 3.6; y = 1.0; .1",3.6,1
"x = 3.6; y = 1.2; .1",3.6,1.2
"x = 3.6; y = 1.4; .1",3.6,1.4
"x = 3.6; y = 1.6; .1",3.6,1.6
"x = 3.6; y = 1.8; .1",3.6,1.8
"x = 3.6; y = 2.0; .1",3.6,2
"x = 3.6; y = 2.2; .1",3.6,2.2
"x = 3.6; y = 2.4; .1",3.6,2.4
"x = 3.6; y = 2.6; .1",3.6,2.6
"x = 3.6; y = 2.8; .1",3.6,2.8
"x = 3.6; y = 3.0; .1",3.6,3
"x = 3.6; y = 3.2; .1",3.6,3.2
"x = 3.6; y = 3.4; .1",3.6,3.4
"x = 3.6; y = 3.6; .1",3.6,3.6
"x = 3.6; y = 3.8; .1",3.6,3.8
"x = 3.6; y = 4.0; .1",3.6,4
"x = 3.6; y = 4.2; .1",3.6,4.2
"x = 3.6; y = 4.4; .1",3.6,4.4
"x = 3.6; y = 4.6; .1",3.6,4.6
"x = 3.6; y = 4.8; .1",3.6,4.8
"x = 3.6; y = 5.0; .1",3.6,5
"x = 3.6; y = 5.2; .1",3.6,5.2
"x = 3.6; y = 5.4; .1",3.6,5.4
"x = 3.6; y = 5.6; .1",3.6,5.6
"x = 3.6; y = 5.8; .1",3.6,5.8
"x = 3.6; y = 6.0; .1",3.6,6
"x = 3.6; y = 6.2; .1",3.6,6.2
"x = 3.6; y = 6.4; .1",3.6,6.4
"x = 3.6; y = 6.6; .1",3.6,6.6
"x = 3.6; y = 6.8; .1",3.6,6.8
"x = 3.6; y = 7.0; .1",3.6,7
"x = 3.6; y = 7.2; .1",3.6,7.2
"x = 3.6; y = 7.4; .1",3.6,7.4
"x = 3.6; y = 7.6; .1",3.6,7.6
"x = 3.6; y = 7.8; .1",3.6,7.8
"x = 3.6; y = 8.0; .1",3.6,8
"x = 3.6; y = 8.2; .1",3.6,8.2
"x = 3.6; y = 8.4; .1",3.6,8.4
"x = 3.6; y = 8.6; .1",3.6,8.6
"x = 3.6; y = 8.8; .1",3.6,8.8
"x = 3.6; y = 9.0; .1",3.6,9
"x = 3.6; y = 9.2; .1",3.6,9.2
"x = 3.6; y = 9.4; .1",3.6,9.4
"x = 3.6; y = 9.6; .1",3.6,9.6
"x = 3.6; y = 9.8; .1",3.6,9.8
"x = 3.8; y = 0.0; .1",3.8,0
"x = 3.8; y = 0.2; .1",3.8,0.2
"x = 3.8; y = 0.4; .1",3.8,0.4
"x = 3.8; y = 0.6; .1",3.8,0.6
"x = 3.8; y = 0.8; .1",3.8,0.8
"x = 3.8; y = 1.0; .1",3.8,1
"x = 3.8; y = 1.2; .1",3.8,1.2
"x = 3.8; y = 1.4; .1",3.8,1.4
"x = 3.8; y = 1.6; .1",3.8,1.6
"x = 3.8; y = 1.8; .1",3.8,1.8
"x = 3.8; y = 2.0; .1",3.8,2
"x = 3.8; y = 2.2; .1",3.8,2.2
"x = 3.8; y = 2.4; .1",3.8,2.4
"x = 3.8; y = 2.6; .1",3.8,2.6
"x = 3.8; y = 2.8; .1",3.8,2.8
"x = 3.8; y = 3.0; .1",3.8,3
"x = 3.8; y = 3.2; .1",3.8,3.2
"x = 3.8; y = 3.4; .1",3.8,3.4
"x = 3.8; y = 3.6; .1",3.8,3.6
"x = 3.8; y = 3.8; .1",3.8,3.8
"x = 3.8; y = 4.0; .1",3.8,4
"x = 3.8; y = 4.2; .1",3.8,4.2
"x = 3.8; y = 4.4; .1",3.8,4.4
"x = 3.8; y = 4.6; .1",3.8,4.6
"x = 3.8; y = 4.8; .1",3.8,4.8
"x = 3.8; y = 5.0; .1",3.8,5
"x = 3.8; y = 5.2; .1",3.8,5.2
"x = 3.8; y = 5.4; .1",3.8,5.4
"x = 3.8; y = 5.6; .1",3.8,5.6
"x = 3.8; y = 5.8; .1",3.8,5.8
"x = 3.8; y = 6.0; .1",3.8,6
"x = 3.8; y = 6.2; .1",3.8,6.2
"x = 3.8; y = 6.4; .1",3.8,6.4
"x = 3.8; y = 6.6; .1",3.8,6.6
"x = 3.8; y = 6.8; .1",3.8,6.8
"x = 3.8; y = 7.0; .1",3.8,7
"x = 3.8; y = 7.2; .1",3.8,7.2
"x = 3.8; y = 7.4; .1",3.8,7.4
"x = 3.8; y = 7.6; .1",3.8,7.6
"x = 3.8; y = 7.8; .1",3.8,7.8
"x = 3.8; y = 8.0; .1",3.8,8
"x = 3.8; y = 8.2; .1",3.8,8.2
"x = 3.8; y = 8.4; .1",3.8,8.4
"x = 3.8; y = 8.6; .1",3.8,8.6
"x = 3.8; y = 8.8; .1",3.8,8.8
"x = 3.8; y = 9.0; .1",3.8,9
"x = 3.8; y = 9.2; .1",3.8,9.2
"x = 3.8; y = 9.4; .1",3.8,9.4
"x = 3.8; y = 9.6; .1",3.8,9.6
"x = 3.8; y = 9.8; .1",3.8,9.8
"x = 4.0; y = 0.0; .1",4,0
"x = 4.0; y = 0.2; .1",4,0.2
"x = 4.0; y = 0.4; .1",4,0.4
"x = 4.0; y = 0.6; .1",4,0.6
"x = 4.0; y = 0.8; .1",4,0.8
"x = 4.0; y = 1.0; .1",4,1
"x = 4.0; y = 1.2; .1",4,1.2
"x = 4.0; y = 1.4; .1",4,1.4
"x = 4.0; y = 1.6; .1",4,1.6
"x = 4.0; y = 1.8; .1",4,1.8
"x = 4.0; y = 2.0; .1",4,2
"x = 4.0; y = 2.2; .1",4,2.2
"x = 4.0; y = 2.4; .1",4,2.4
"x = 4.0; y = 2.6; .1",4,2.6
"x = 4.0; y = 2.8; .1",4,2.8
"x = 4.0; y = 3.0; .1",4,3
"x = 4.0; y = 3.2; .1",4,3.2
"x = 4.0; y = 3.4; .1",4,3.4
"x = 4.0; y = 3.6; .1",4,3.6
"x = 4.0; y = 3.8; .1",4,3.8
"x = 4.0; y = 4.0; .1",4,4
"x = 4.0; y = 4.2; .1",4,4.2
"x = 4.0; y = 4.4; .1",4,4.4
"x = 4.0; y = 4.6; .1",4,4.6
"x = 4.0; y = 4.8; .1",4,4.8
"x = 4.0; y = 5.0; .1",4,5
"x = 4.0; y = 5.2; .1",4,5.2
"x = 4.0; y = 5.4; .1",4,5.4
"x = 4.0; y = 5.6; .1",4,5.6
"x = 4.0; y = 5.8; .1",4,5.8
"x = 4.0; y = 6.0; .1",4,6
"x = 4.0; y = 6.2; .1",4,6.2
"x = 4.0; y = 6.4; .1",4,6.4
"x = 4.0; y = 6.6; .1",4,6.6
"x = 4.0; y = 6.8; .1",4,6.8
"x = 4.0; y = 7.0; .1",4,7
"x = 4.0; y = 7.2; .1",4,7.2
"x = 4.0; y = 7.4; .1",4,7.4
"x = 4.0; y = 7.6; .1",4,7.6
"x = 4.0; y = 7.8; .1",4,7.8
"x = 4.0; y = 8.0; .1",4,8
"x = 4.0; y = 8.2; .1",4,8.2
"x = 4.0; y = 8.4; .1",4,8.4
"x = 4.0; y = 8.6; .1",4,8.6
"x = 4.0; y = 8.8; .1",4,8.8
"x = 4.0; y = 9.0; .1",4,9
"x = 4.0; y = 9.2; .1",4,9.2
"x = 4.0; y = 9.4; .1",4,9.4
"x = 4.0; y = 9.6; .1",4,9.6
"x = 4.0; y = 9.8; .1",4,9.8
"x = 4.2; y = 0.0; .1",4.2,0
"x = 4.2; y = 0.2; .1",4.2,0.2
"x = 4.2; y = 0.4; .1",4.2,0.4
"x = 4.2; y = 0.6; .1",4.2,0.6
"x = 4.2; y = 0.8; .1",4.2,0.8
"x = 4.2; y = 1.0; .1",4.2,1
"x = 4.2; y = 1.2; .1",4.2,1.2
"x = 4.2; y = 1.4; .1",4.2,1.4
"x = 4.2; y = 1.6; .1",4.2,1.6
"x = 4.2; y = 1.8; .1",4.2,1.8
"x = 4.2; y = 2.0; .1",4.2,2
"x = 4.2; y = 2.2; .1",4.2,2.2
"x = 4.2; y = 2.4; .1",4.2,2.4
"x = 4.2; y = 2.6; .1",4.2,2.6
"x = 4.2; y = 2.8; .1",4.2,2.8
"x = 4.2; y = 3.0; .1",4.2,3
"x = 4.2; y = 3.2; .1",4.2,3.2
"x = 4.2; y = 3.4; .1",4.2,3.4
"x = 4.2; y = 3.6; .1",4.2,3.6
"x = 4.2; y = 3.8; .1",4.2,3.8
"x = 4.2; y = 4.0; .1",4.2,4
"x = 4.2; y = 4.2; .1",4.2,4.2
"x = 4.2; y = 4.4; .1",4.2,4.4
"x = 4.2; y = 4.6; .1",4.2,4.6
"x = 4.2; y = 4.8; .1",4.2,4.8
"x = 4.2; y = 5.0; .1",4.2,5
"x = 4.2; y = 5.2; .1",4.2,5.2
"x = 4.2; y = 5.4; .1",4.2,5.4
"x = 4.2; y = 5.6; .1",4.2,5.6
"x = 4.2; y = 5.8; .1",4.2,5.8
"x = 4.2; y = 6.0; .1",4.2,6
"x = 4.2; y = 6.2; .1",4.2,6.2
"x = 4.2; y = 6.4; .1",4.2,6.4
"x = 4.2; y = 6.6; .1",4.2,6.6
"x = 4.2; y = 6.8; .1",4.2,6.8
"x = 4.2; y = 7.0; .1",4.2,7
"x = 4.2; y = 7.2; .1",4.2,7.2
"x = 4.2; y = 7.4; .1",4.2,7.4
"x = 4.2; y = 7.6; .1",4.2,7.6
"x = 4.2; y = 7.8; .1",4.2,7.8
"x = 4.2; y = 8.0; .1",4.2,8
"x = 4.2; y = 8.2; .1",4.2,8.2
"x = 4.2; y = 8.4; .1",4.2,8.4
"x = 4.2; y = 8.6; .1",4.2,8.6
"x = 4.2; y = 8.8; .1",4.2,8.8
"x = 4.2; y = 9.0; .1",4.2,9
"x = 4.2; y = 9.2; .1",4.2,9.2
"x = 4.2; y = 9.4; .1",4.2,9.4
"x = 4.2; y = 9.6; .1",4.2,9.6
"x = 4.2; y = 9.8; .1",4.2,9.8
"x = 4.4; y = 0.0; .1",4.4,0
"x = 4.4; y = 0.2; .1",4.4,0.2
"x = 4.4; y = 0.4; .1",4.4,0.4
"x = 4.4; y = 0.6; .1",4.4,0.6
"x = 4.4; y = 0.8; .1",4.4,0.8
"x = 4.4; y = 1.0; .1",4.4,1
"x = 4.4; y = 1.2; .1",4.4,1.2
"x = 4.4; y = 1.4; .1",4.4,1.4
"x = 4.4; y = 1.6; .1",4.4,1.6
"x = 4.4; y = 1.8; .1",4.4,1.8
"x = 4.4; y = 2.0; .1",4.4,2
"x = 4.4; y = 2.2; .1",4.4,2.2
"x = 4.4; y = 2.4; .1",4.4,2.4
"x = 4.4; y = 2.6; .1",4.4,2.6
"x = 4.4; y = 2.8; .1",4.4,2.8
"x = 4.4; y = 3.0; .1",4.4,3
"x = 4.4; y = 3.2; .1",4.4,3.2
"x = 4.4; y = 3.4; .1",4.4,3.4
"x = 4.4; y = 3.6; .1",4.4,3.6
"x = 4.4; y = 3.8; .1",4.4,3.8
"x = 4.4; y = 4.0; .1",4.4,4
"x = 4.4; y = 4.2; .1",4.4,4.2
"x = 4.4; y = 4.4; .1",4.4,4.4
"x = 4.4; y = 4.6; .1",4.4,4.6
"x = 4.4; y = 4.8; .1",4.4,4.8
"x = 4.4; y = 5.0; .1",4.4,5
"x = 4.4; y = 5.2; .1",4.4,5.2
"x = 4.4; y = 5.4; .1",4.4,5.4
"x = 4.4; y = 5.6; .1",4.4,5.6
"x = 4.4; y = 5.8; .1",4.4,5.8
"x = 4.4; y = 6.0; .1",4.4,6
"x = 4.4; y = 6.2; .1",4.4,6.2
"x = 4.4; y = 6.4; .1",4.4,6.4
"x = 4.4; y = 6.6; .1",4.4,6.6
"x = 4.4; y = 6.8; .1",4.4,6.8
"x = 4.4; y = 7.0; .1",4.4,7
"x = 4.4; y = 7.2; .1",4.4,7.2
"x = 4.4; y = 7.4; .1",4.4,7.4
"x = 4.4; y = 7.6; .1",4.4,7.6
"x = 4.4; y = 7.8; .1",4.4,7.8
"x = 4.4; y = 8.0; .1",4.4,8
"x = 4.4; y = 8.2; .1",4.4,8.2
"x = 4.4; y = 8.4; .1",4.4,8.4
"x = 4.4; y = 8.6; .1",4.4,8.6
"x = 4.4; y = 8.8; .1",4.4,8.8
"x = 4.4; y = 9.0; .1",4.4,9
"x = 4.4; y = 9.2; .1",4.4,9.2
"x = 4.4; y = 9.4; .1",4.4,9.4
"x = 4.4; y = 9.6; .1",4.4,9.6
"x = 4.4; y = 9.8; .1",4.4,9.8
"x = 4.6; y = 0.0; .1",4.6,0
"x = 4.6; y = 0.2; .1",4.6,0.2
"x = 4.6; y = 0.4; .1",4.6,0.4
"x = 4.6; y = 0.6; .1",4.6,0.6
"x = 4.6; y = 0.8; .1",4.6,0.8
"x = 4.6; y = 1.0; .1",4.6,1
"x = 4.6; y = 1.2; .1",4.6,1.2
"x = 4.6; y = 1.4; .1",4.6,1.4
"x = 4.6; y = 1.6; .1",4.6,1.6
"x = 4.6; y = 1.8; .1",4.6,1.8
"x = 4.6; y = 2.0; .1",4.6,2
"x = 4.6; y = 2.2; .1",4.6,2.2
"x = 4.6; y = 2.4; .1",4.6,2.4
"x = 4.6; y = 2.6; .1",4.6,2.6
"x = 4.6; y = 2.8; .1",4.6,2.8
"x = 4.6; y = 3.0; .1",4.6,3
"x = 4.6; y = 3.2; .1",4.6,3.2
"x = 4.6; y = 3.4; .1",4.6,3.4
"x = 4.6; y = 3.6; .1",4.6,3.6
"x = 4.6; y = 3.8; .1",4.6,3.8
"x = 4.6; y = 4.0; .1",4.6,4
"x = 4.6; y = 4.2; .1",4.6,4.2
"x = 4.6; y = 4.4; .1",4.6,4.4
"x = 4.6; y = 4.6; .1",4.6,4.6
"x = 4.6; y = 4.8; .1",4.6,4.8
"x = 4.6; y = 5.0; .1",4.6,5
"x = 4.6; y = 5.2; .1",4.6,5.2
"x = 4.6; y = 5.4; .1",4.6,5.4
"x = 4.6; y = 5.6; .1",4.6,5.6
"x = 4.6; y = 5.8; .1",4.6,5.8
"x = 4.6; y = 6.0; .1",4.6,6
"x = 4.6; y = 6.2; .1",4.6,6.2
"x = 4.6; y = 6.4; .1",4.6,6.4
"x = 4.6; y = 6.6; .1",4.6,6.6
"x = 4.6; y = 6.8; .1",4.6,6.8
"x = 4.6; y = 7.0; .1",4.6,7
"x = 4.6; y = 7.2; .1",4.6,7.2
"x = 4.6; y = 7.4; .1",4.6,7.4
"x = 4.6; y = 7.6; .1",4.6,7.6
"x = 4.6; y = 7.8; .1",4.6,7.8
"x = 4.6; y = 8.0; .1",4.6,8
"x = 4.6; y = 8.2; .1",4.6,8.2
"x = 4.6; y = 8.4; .1",4.6,8.4
"x = 4.6; y = 8.6; .1",4.6,8.6
"x = 4.6; y = 8.8; .1",4.6,8.8
"x = 4.6; y = 9.0; .1",4.6,9
"x = 4.6; y = 9.2; .1",4.6,9.2
"x = 4.6; y = 9.4; .1",4.6,9.4
"x = 4.6; y = 9.6; .1",4.6,9.6
"x = 4.6; y = 9.8; .1",4.6,9.8
"x = 4.8; y = 0.0; .1",4.8,0
"x = 4.8; y = 0.2; .1",4.8,0.2
"x = 4.8; y = 0.4; .1",4.8,0.4
"x = 4.8; y = 0.6; .1",4.8,0.6
"x = 4.8; y = 0.8; .1",4.8,0.8
"x = 4.8; y = 1.0; .1",4.8,1
"x = 4.8; y = 1.2; .1",4.8,1.2
"x = 4.8; y = 1.4; .1",4.8,1.4
"x = 4.8; y = 1.6; .1",4.8,1.6
"x = 4.8; y = 1.8; .1",4.8,1.8
"x = 4.8; y = 2.0; .1",4.8,2
"x = 4.8; y = 2.2; .1",4.8,2.2
"x = 4.8; y = 2.4; .1",4.8,2.4
"x = 4.8; y = 2.6; .1",4.8,2.6
"x = 4.8; y = 2.8; .1",4.8,2.8
"x = 4.8; y = 3.0; .1",4.8,3
"x = 4.8; y = 3.2; .1",4.8,3.2
"x = 4.8; y = 3.4; .1",4.8,3.4
"x = 4.8; y = 3.6; .1",4.8,3.6
"x = 4.8; y = 3.8; .1",4.8,3.8
"x = 4.8; y = 4.0; .1",4.8,4
"x = 4.8; y = 4.2; .1",4.8,4.2
"x = 4.8; y = 4.4; .1",4.8,4.4
"x = 4.8; y = 4.6; .1",4.8,4.6
"x = 4.8; y = 4.8; .1",4.8,4.8
"x = 4.8; y = 5.0; .1",4.8,5
"x = 4.8; y = 5.2; .1",4.8,5.2
"x = 4.8; y = 5.4; .1",4.8,5.4
"x = 4.8; y = 5.6; .1",4.8,5.6
"x = 4.8; y = 5.8; .1",4.8,5.8
"x = 4.8; y = 6.0; .1",4.8,6
"x = 4.8; y = 6.2; .1",4.8,6.2
"x = 4.8; y = 6.4; .1",4.8,6.4
"x = 4.8; y = 6.6; .1",4.8,6.6
"x = 4.8; y = 6.8; .1",4.8,6.8
"x = 4.8; y = 7.0; .1",4.8,7
"x = 4.8; y = 7.2; .1",4.8,7.2
"x = 4.8; y = 7.4; .1",4.8,7.4
"x = 4.8; y = 7.6; .1",4.8,7.6
"x = 4.8; y = 7.8; .1",4.8,7.8
"x = 4.8; y = 8.0; .1",4.8,8
"x = 4.8; y = 8.2; .1",4.8,8.2
"x = 4.8; y = 8.4; .1",4.8,8.4
"x = 4.8; y = 8.6; .1",4.8,8.6
